529781,Mirzapur,2016,October,82.27589986
529722,Umara,2016,October,78.25992386
529705,Jitapur Pr. Rupagad,2016,October,79.23804088
529703,Shahapur Pr. Rupagad,2016,October,80.74668039
529702,Rahnapur,2016,October,83.79410614
529748,Dangarkhed,2016,October,85.28235413
529702,Rahnapur,2016,October,83.79410614
527524,Javakhede,2016,October,82.76216654
527462,Nagaon Kh.,2016,October,83.25145559
527450,Dahiwad Kh.,2016,October,80.73832081
560008,Patoda,2016,October,72.75556032
560036,Daithana Radi,2016,October,72.72884113
560000,Kumbephal,2016,October,74.25066484
559995,Shripatrayachiwadi,2016,October,81.74000435
560027,Selu Amba,2016,October,78.73622666
560028,Pokhari,2016,October,77.73470507
560018,Shepwadi,2016,October,80.75467071
560019,Dongar Pimpla,2016,October,83.75380567
559988,Chichkhandi,2016,October,79.75262539
560013,Yelda,2016,October,80.74870734
560012,Mandva (pathan),2016,October,74.74121934
560075,Khapartong,2016,October,80.2443887
533814,TEMBHARI,2016,October,79.26709134
533808,BOTHALI,2016,October,79.74866445
533818,KAKADDARA,2016,October,80.74409086
533813,AJANGAON,2016,October,81.75119834
558833,Anandwadi,2016,October,64.26958721
558821,Pimpalgaon Dani,2016,October,64.73829302
558731,Bandkhel,2016,October,71.76077002
568584,Ambewadi,2016,October,76.24986237
568575,Sherewadi,2016,October,77.73877066
568571,Palaskhel,2016,October,70.74966986
568571,Palaskhel,2016,October,70.74966986
568618,Kamkatrewadi,2016,October,73.26122153
568620,Autewadi,2016,October,67.73500072
568620,Autewadi,2016,October,67.73500072
560677,Yekambiwadi,2016,October,79.2168972
560694,Ashiv,2016,October,66.24586581
560610,Yeloriwadi,2016,October,86.745248
560671,Dautpur,2016,October,80.23829646
560663,Ramegaon,2016,October,79.25272302
556901,Sawantwadi,2016,October,68.25921583
556897,Undavadi Kade Pathar,2016,October,68.74476708
562052,Dhotre,2016,October,81.73884804
562011,Khadkoni,2016,October,75.76752801
530463,Kanheri,2016,October,82.24732099
530452,Lohgadtanda (N.V.),2016,October,83.76527694
530464,Sarav,2016,October,84.25533493
530461,Chohagaon,2016,October,83.26139205
530537,Hatola,2016,October,78.25978544
530573,Kherda Kh.,2016,October,80.24476897
530573,Kherda Kh.,2016,October,80.24476897
544888,Hadoli,2016,October,80.25847211
544882,Nanda Bk.,2016,October,81.2514131
561192,Walha,2016,October,70.75221485
561191,Pathasangvi,2016,October,71.2531495
561221,Hiwara,2016,October,72.24757729
550493,Urdhul,2016,October,75.25047295
550460,Bopane,2016,October,78.24948361
531606,Hilda,2016,October,86.26113387
531539,Makhala,2016,October,79.26225341
542574,Shelodi,2016,October,82.75307082
542627,Tapona,2016,October,84.76521225
542636,Bothgavan,2016,October,82.2711874
534240,TALNI(BHAGWAT),2016,October,83.74629978
534248,FATTEPUR,2016,October,82.75999075
534225,EKAMBA,2016,October,83.25894912
560890,Nagtirthawadi,2016,October,78.75609795
560888,Kamaroddinpur,2016,October,79.24986402
531402,Sawalikheda,2016,October,86.76050111
531377,Sadrabardi,2016,October,82.74561047
531455,Ghuti,2016,October,86.26589123
531457,Mansubhawdi,2016,October,83.26293675
531449,Jutpani,2016,October,85.74194184
531383,Laktu,2016,October,84.24899724
559868,Umbrayachiwadi,2016,October,81.25434747
559851,Jaybhaychi Wadi,2016,October,76.75197807
548675,Nidhona,2016,October,77.24107281
548671,Wawana,2016,October,76.24884608
548662,Hiwara,2016,October,75.25008134
548725,Dongargaon Kawad,2016,October,78.24114938
548745,Waghola,2016,October,75.75013063
543331,Pandhurna Bk,2016,October,85.26576211
543343,Kumbhari,2016,October,86.26030383
557060,Vyahali,2016,October,72.25262399
556994,Lamjewadi,2016,October,73.25155033
557053,Ghorpadwadi,2016,October,70.73867322
556984,Shetphalgadhe,2016,October,71.25065974
556995,Nirgude,2016,October,71.25183185
556987,Takrarwadi,2016,October,42.27589695
528242,Khandvi,2016,October,80.73218168
528208,Wadgaon,2016,October,80.75206294
528208,Wadgaon  Patan,2016,October,80.75206294
568820,Navalwadi,2016,October,71.22706569
568844,Avandhi,2016,October,70.74958588
568847,Bagalwadi,2016,October,66.75493722
568849,Mokashawadi,2016,October,70.74972799
568832,Belunki,2016,October,69.74913916
568864,Lakdewadi,2016,October,81.75043557
568871,Maithal,2016,October,73.74193694
546579,Jamb kh,2016,October,81.74971634
546555,Sawargaon,2016,October,81.74605136
546633,Jununwadi,2016,October,80.75669224
559784,Anandgaon,2016,October,81.24500666
559780,Palaskheda,2016,October,78.75646625
559779,Depewadgaon,2016,October,78.2496307
559773,Kalam Amba,2016,October,83.75877937
559752,Chandansawargaon,2016,October,82.75700648
559772,Kekat Sarni,2016,October,81.26760335
559725,Kashidwadi,2016,October,82.24013528
561343,Wathawada,2016,October,80.24414424
561315,Shelka Dhanora,2016,October,80.25093163
561306,Pimpalgaon Dola,2016,October,79.74261781
561305,Bhatshirapura,2016,October,79.75922443
561316,Kherda,2016,October,79.22862523
542227,Narsapur,2016,October,79.76138857
542298,Tirzada,2016,October,80.23610562
542300,Rajur,2016,October,71.74724023
542307,Khadki,2016,October,73.74408982
546221,Kupti,2016,October,80.24343289
546194,Jaroda,2016,October,83.2467652
546127,Ramwadi,2016,October,83.25448033
530919,Dhanj  Bk,2016,October,81.260218
530855,Janori,2016,October,82.75570687
530861,Kakadshivni,2016,October,80.2585652
530896,Vilegaon,2016,October,76.75684846
530851,Bhadshivni,2016,October,79.74010049
530904,Jaipur,2016,October,79.23793065
533617,Kajali,2016,October,82.25156626
533621,Nandora,2016,October,81.25211794
